SDG S/O Number;Ncode;Customer PO No.;Otx Item;Surface;Grade;Thickness;Width;Material;Description;     Order Qty;In Production Qty;   Produced Qty;    In Transit;Transfered Qty;Final Qty;Production Balance;Warehouse STOCK Qty;RequestDeliveryDate;OTX Sales Order;Status Description;;
APC_APRIL_Prep;N16533;TAD INOX Service Gmbh;10;2B;1.4307;0.6;1000;542ATV0601A0003;CRC/Slit 1.4307 2B 0.60x1000mm;18;0;-17.52;36.87;0;0;-18;0;46752;32089025;;;1000
APC_APRIL_Prep;N16132;Schoeller Werk;40;2B;1.4307;0.7;24.2;542ATV070NA0030;CRC/SLIT 1.4307 2B 0.7X24.2MM;36;0;-35.4;35.4;0;0;-36;0;46752;32089025;;;
APC_APRIL_Prep;N16712;BRUGG Rohrsysteme;50;2B;1.4301;1.2;696;542ATY120NA0007;CRC/SLIT 1.4301 2B 1.2X696MM;18;0;-17.7;17.7;0;0;-18;0;46752;32089025;;;
APC_APRIL_Prep;N0240;Swep International AB;60;2B;1.4404;0.3;82;542ATL030NA0001;CRC/Slit 1.4404 2B 0.30x82mm;126;0;-132.13;132.13;0;0;-126;47.216;46752;32089025;;;
APC_APRIL_Prep;N5824C;Norder Band AG;70;2B;1.4404;0.3;1270;542AML0303A0005;CRC/Mill 1.4404 2B 0.30x1270mm;18;0;-19.2;19.2;0;0;-18;0;46752;32089025;;;
APC_APRIL_Prep;N3423;Kelvion Brazed;80;2B;1.4404;0.3;102;542ATL030NA0024;CRC/Slit 1.4404 2B 0.30x102mm;18;0;-19.94;19.94;0;0;-18;4.044;46752;32089025;;;
APC_APRIL_Prep;N7947;Kelvion Brazed;90;2B;1.4404;0.35;136;542ATL035NA0007;CRC/Slit 1.4404 2B 0.35x136mm;36;0;-36.61;36.61;0;0;-36;0;46752;32089025;;;
APC_APRIL_Prep;N0391;Swep International AB;100;2B;1.4404;0.35;312.5;542ATL035NA0003;CRC/Slit 1.4404 2B 0.35x312.5mm;198;0;-193.07;193.07;0;0;-198;78.312;46752;32089025;;;
APC_APRIL_Prep;N12880;Alfa Laval Technologies AB;110;2B;1.4404;0.378;750;542ATL040NA0141;CRC/Slit 1.4404 2B 0.378x750mm;36;0;-56.64;56.64;0;0;-36;7.38;46752;32089025;;;
APC_APRIL_Prep;N6824;SPX Flow Technology PL;120;2B;1.4404;0.4;500;542ATL040NA0075;CRC/Slit 1.4404 2B 0.40x500mm;18;0;-19.29;19.29;0;0;-18;3.59;46752;32089025;;;
APC_APRIL_Prep;N16280;Danfoss A/S;130;2B;1.4404;0.4;1000;542ATL0401A0002;CRC/Slit 1.4404 2B 0.40x1000mm;36;0;-38.32;38.32;0;0;-36;0;46752;32089025;;;
APC_APRIL_Prep;N0282;Swep International AB;140;2B;1.4404;0.4;312.5;542ATL040NA0003;CRC/Slit 1.4404 2B 0.40x312.5mm;126;0;0;125.76;0;0;-126;0;46752;32089025;;;
APC_APRIL_Prep;N14053;Alfa Laval Technologies AB;150;2B;1.4404;0.481;750;542ATL050NA0189;CRC/Slit 1.4404 2B 0.481x750mm;72;0;-132.02;132.02;0;0;-72;7.869;46752;32089025;;;
APC_APRIL_Prep;N3722A;Kelvion PHE;160;2B;1.4404;0.5;1250;542ATL0503A0001;CRC/Slit 1.4404 2B 0.50x1250mm;18;0;-19.18;19.18;0;0;-18;0;46752;32089025;;;
APC_APRIL_Prep;N15204;HEXONIC;170;2B;1.4404;0.5;1250;542ATL0503A0003;CRC/Slit 1.4404 2B 0.50x1250mm;18;0;-18.74;18.74;0;0;-18;2.558;46752;32089025;;;
APC_APRIL_Prep;N15649;Zoppas Industries Romania;180;2B;1.4404;0.5;39.6;542ATL050NA0202;CRC/SLIT 1.4404 2B 0.5X39.6MM;36;0;-38.62;38.62;0;0;-36;0;46752;32089025;;;
APC_APRIL_Prep;N15098;Flex Academy Doo;190;2B;1.4404;0.5;448;542ATL050NA0198;CRC/SLIT 1.4404 2B 0.5X448MM;36;0;-37.9;37.9;0;0;-36;0;46752;32089025;;;
APC_APRIL_Prep;N16275;Danfoss A/S;200;2B;1.4404;0.5;1000;542ATL0501A0001;CRC/Slit 1.4404 2B 0.50x1000mm;54;0;-54.33;54.33;0;0;-54;0;46752;32089025;;;
APC_APRIL_Prep;N9195A;Alfa Laval Technologies AB;210;2B;1.4404;0.583;625;542ATL060NA0114;CRC/Slit 1.4404 2B 0.583x625mm;54;0;-57.29;57.29;0;0;-54;0;46752;32089025;;;
APC_APRIL_Prep;N14417;SPX Flow Technology PL;220;2B;1.4404;0.6;308;542ATL060NA0087;CRC/Slit 1.4404 2B 0.60x308mm;18;0;-18.13;18.13;0;0;-18;0;46752;32089025;;;
APC_APRIL_Prep;N10293;Swep Slovakia S.R.O;230;2B;1.4404;0.6;210;542ATL060NA0055;CRC/Slit 1.4404 2B 0.60x210mm;18;0;-18.36;18.36;0;0;-18;5.517;46752;32089025;;;
APC_APRIL_Prep;N16527;Alfa Laval Technologies AB;240;2B;1.4404;0.78;750;542ATL080NA0069;CRC/SLIT 1.4404 2B 0.78X750MM;18;0;-35.93;35.93;0;0;-18;0;46752;32089025;;;
APC_APRIL_Prep;N15875;WITZENMANN GMBH;260;2B;1.4404;1;1250;542ATL1003A0001;CRC/Slit 1.4404 2B 1.00x1250mm;18;0;-19.11;19.11;0;0;-18;0;46752;32089025;;;
APC_APRIL_Prep;N11387;Swep International AB;280;2B;1.4404;1;125;542ATL100NA0033;CRC/Slit 1.4404 2B 1.0x125mm;36;0;-38.15;38.15;0;0;-36;0;46752;32089025;;;
APC_APRIL_Prep;N11478;Urbetrans Logistica;290;2B;1.4307;0.25;120;542ATV025NA0002;CRC/Slit 1.4307 2B 0.25x120mm;18;0;-17.72;17.72;0;0;-18;0;46752;32089025;;;
APC_APRIL_Prep;;;;;;;;;;    1.170.000;0;-1.110.870;    1.255.980;0;0;-1.170.000;156.486;;;;;
APC_AUGUST_Prep;N0240;Swep International AB;10;2B;1.4404;0.3;82;542ATL030NA0001;CRC/Slit 1.4404 2B 0.30x82mm;72;74.84;0;0;0;0;-72;47.216;46752;32091128;;;
APC_AUGUST_Prep;N14422;Flex Academy;20;2B;1.4404;0.3;94;542ATL030NA0016;CRC/Slit 1.4404 2B 0.30x94mm;18;19.86;0;0;0;0;-18;12.608;46752;32091128;;;
APC_AUGUST_Prep;N5824C;Norder Band;30;2B;1.4404;0.3;1270;542AML0303A0005;CRC/Mill 1.4404 2B 0.30x1270mm;36;39.9;0;0;0;0;-36;0;46752;32091128;;;
APC_AUGUST_Prep;N0391;Swep International AB;40;2B;1.4404;0.35;312.5;542ATL035NA0003;CRC/Slit 1.4404 2B 0.35x312.5mm;90;41.42;0;0;0;0;-90;78.312;46752;32091128;;;
APC_AUGUST_Prep;N15097;Flex Academy;50;2B;1.4404;0.4;286;542ATL040NA0166;CRC/SLIT 1.4404 2B 0.4X286MM;18;0;0;0;0;0;-18;0;46752;32091128;;;
APC_AUGUST_Prep;N16280;DANFOSS;60;2B;1.4404;0.4;1000;542ATL0401A0002;CRC/Slit 1.4404 2B 0.40x1000mm;36;0;0;0;0;0;-36;0;46752;32091128;;;
APC_AUGUST_Prep;N0282;Swep International AB;70;2B;1.4404;0.4;312.5;542ATL040NA0003;CRC/Slit 1.4404 2B 0.40x312.5mm;108;63.6;0;0;0;0;-108;0;46752;32091128;;;
APC_AUGUST_Prep;;;;;;;;;;378;239.62;0;0;0;0;-378;138.136;;;;;
APC_DEC_Prep;N13593;Alfa Laval Technologies AB;20;2B;1.4404(N);0.25;400;542ATF025NA0001;CRC/Slit 1.4404(N) 2B 0.25x400mm;54;0;0;49.01;0;0;-54;0;46752;32086496;;;
APC_DEC_Prep;N14591;Pulvini SRL;30;2B;1.4404(N);0.295;333;542ATF030NA0011;CRC/Slit 1.4404(N) 2B 0.295x333mm;216;0;0;187.66;0;0;-216;61.074;46752;32086496;;;
APC_DEC_Prep;N14595;Alfa Laval Technologies AB;40;2B;1.4404(N);0.348;625;542ATF035NA0005;CRC/Slit 1.4404(N) 2B 0.348x625mm;54;0;0;54.57;0;0;-54;0;46752;32086496;;;
APC_DEC_Prep;N14600;Pulvini SRL;50;2B;1.4404(N);0.398;500;542ATF040NA0016;CRC/Slit 1.4404(N) 2B 0.398x500mm;72;0;0;73.31;0;0;-72;0;46752;32086496;;;
APC_DEC_Prep;N14327;Alfa Laval Technologies AB;60;2B;1.4404(N);0.5;500;542ATF050NA0003;CRC/Slit 1.4404(N) 2B 0.50x500mm;18;0;0;19.04;0;0;-18;0;46752;32086496;;;
APC_DEC_Prep;N16748;Pulvini SRL;70;2B;1.4301;0.295;300;542ATY030NA0109;CRC/SLIT 1.4301 2B 0.295X300MM;18;0;-19.5;19.5;0;0;-18;0;46752;32086496;;;
APC_DEC_Prep;N3922B;Norder Band AG;80;2B;1.4301;0.3;1270;542AMY0303A0002;CRC/Mill 1.4301 2B 0.30x1270mm;18;0;-19.87;19.87;0;0;-18;0;46752;32086496;;;
APC_DEC_Prep;N6589;Watco Companies LLC;90;2B;1.4307;0.3;82;542ATV030NA0003;CRC/Slit 1.4307 2B 0.30x82mm;36;0;-38.53;38.53;0;0;-36;3.151;46752;32086496;;;
APC_DEC_Prep;N13784;Bernecker Rollforming & Tubes GmbH;100;2B;1.4301;0.32;37;542ATY030NA0083;CRC/Slit 1.4301 2B 0.32x37mm;18;0;0;19.28;0;0;-18;933;46752;32086496;;;
APC_DEC_Prep;N9310A;Alfa Laval Technologies AB;110;2B;1.4301;0.378;625;542ATY040NA0128;CRC/Slit 1.4301 2B 0.378x625mm;18;0;-19.46;19.46;0;0;-18;0;46752;32086496;;;
APC_DEC_Prep;N9663A;Alfa Laval Technologies AB;120;2B;1.4301;0.378;750;542ATY040NA0126;CRC/Slit 1.4301 2B 0.378x750mm;18;0;-26.74;26.74;0;0;-18;9.082;46752;32086496;;;
APC_DEC_Prep;N5871;Kelvion PHE GmbH;130;2B;1.4301;0.4;550;542ATY040NA0070;CRC/Slit 1.4301 2B 0.4x550mm;36;0;-38.51;38.51;0;0;-36;0;46752;32086496;;;
APC_DEC_Prep;N16633;ALSIMA D.O.O.;140;2B;1.4301;0.4;49.7;542ATY040NA0148;CRC/SLIT 1.4301 2B 0.4X49.7MM;144;0;0;133.24;0;0;-144;0;46752;32086496;;;
APC_DEC_Prep;N0662;NDB LOGISTICA;150;2B;1.4307;0.4;30.4;542ATV040NA0005;CRC/Slit 1.4307 2B 0.40x30.4mm;18;0;0;19.8;0;0;-18;0;46752;32086496;;;
APC_DEC_Prep;N13743;Danfoss SRL;160;2B;1.4301;0.4;762;542ATY040NA0134;CRC/Slit 1.4301 2B 0.40x762mm;45;0;-69.15;69.15;0;0;-45;0;46752;32086496;;;
APC_DEC_Prep;N16283;CSM Tube Spa;170;2B;1.4307;0.43;43.6;542ATV040NA0050;CRC/SLIT 1.4307 2B 0.43X43.6MM;18;0;-19.7;19.7;0;0;-18;0;46752;32086496;;;
APC_DEC_Prep;N0243A;Alfa Laval Technologies AB;180;2B;1.4301;0.481;375;542ATY050NA0236;CRC/Slit 1.4301 2B 0.481x375mm;72;0;-77.12;77.12;0;0;-72;2.753;46752;32086496;;;
APC_DEC_Prep;N13354;Kelvion PHE GmbH;190;2B;1.4301;0.5;1000;542ATY0501A0003;CRC/Slit 1.4301 2B 0.50x1000mm;54;0;0;58.3;0;0;-54;0;46752;32086496;;;
APC_DEC_Prep;;;;;;;;;;927;0;-328.58;942.79;0;0;-927;76.993;;;;;
APC_FEB_Prep;N15410;MR Transport;10;2B;1.4301;0.4;398;542ATY040NA0141;CRC/SLIT 1.4301 2B 0.4X398MM;72;0;-76.96;76.96;0;0;-72;14.373;46752;32087379;;;
APC_FEB_Prep;N14486;Norder Band AG;20;2B;1.4307;0.4;1270;542AMV0403A0002;CRC/Mill 1.4307 2B 0.4x1270mm;36;0;0;19.45;0;0;-36;0;46752;32087379;;;
APC_FEB_Prep;N10963;MAHLE Behr GmbH & Co. KG;30;2B;1.4301;0.42;38.5;542ATY040NA0097;CRC/Slit 1.4301 2B 0.42x38.5mm;18;0;-19.55;19.55;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N13314;Zoppas Industries RO;40;2B;1.4307;0.45;28.8;542ATV045NA0002;CRC/Slit 1.4307 2B 0.45x28.8mm;18;0;-18.92;18.92;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N14740;NBD LOGISTICA;50;2B;1.4307;0.5;14.35;542ATV050NA0056;CRC/Slit 1.4307 2B 0.50x14.35mm;18;0;-19.08;19.08;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N1134A;PG Germany;60;2B;1.4301;0.5;1000;542ATY0501A0015;CRC/Slit 1.4301 2B 0.50x1000mm;72;0;-58.62;58.62;0;0;-72;0;46752;32087379;;;
APC_FEB_Prep;N6164A;Norder Band AG;70;2B;1.4307;0.5;1270;542AMV0503A0002;CRC/Mill 1.4307 2B 0.5x1270mm;198;0;0;175.12;0;0;-198;0;46752;32087379;;;
APC_FEB_Prep;N16533;TAD INOX;80;2B;1.4307;0.6;1000;542ATV0601A0003;CRC/Slit 1.4307 2B 0.60x1000mm;18;0;0;19.46;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N2688;Palmer-Bleche;90;2B;1.4301;0.7;1000;542ATY0701A0019;CRC/Slit 1.4301 2B 0.70x1000mm;18;0;-17.28;17.28;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N16131;Schoeller Werk;100;2B;1.4307;0.7;30.5;542ATV070NA0031;CRC/SLIT 1.4307 2B 0.7X30.5MM;18;0;-19.41;19.41;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N16132;Schoeller Werk;110;2B;1.4307;0.7;24.2;542ATV070NA0030;CRC/SLIT 1.4307 2B 0.7X24.2MM;72;0;-78.68;78.68;0;0;-72;0;46752;32087379;;;
APC_FEB_Prep;N11380;Inovan GMBH;120;2B;1.4301;0.8;150;542ATY080NA0038;CRC/Slit 1.4301 2B 0.80x150mm;18;0;0;0;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N16365;Schoeller Werk;130;2B;1.4307;0.8;36.5;542ATV080NA0011;CRC/SLIT 1.4307 2B 0.8X36.5MM;18;0;-19.4;19.4;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N6356;Swep International AB;140;2B;1.4307;1;82;542ATV100NA0002;CRC/Slit 1.4307 2B 1.00x82mm;18;0;-19.1;19.1;0;0;-18;13.113;46752;32087379;;;
APC_FEB_Prep;N16372;CSM Tube Spa;150;2B;1.4301;1;99.2;542ATY100NA0048;CRC/SLIT 1.4301 2B 1X99.2MM;18;0;-19.36;19.36;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N16712;BRUGG Rohrsysteme;170;2B;1.4301;1.2;696;542ATY120NA0007;CRC/SLIT 1.4301 2B 1.2X696MM;18;0;-19.2;19.2;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N7028;HEXONIC;180;2B;1.4404;0.35;134;542ATL035NA0005;CRC/Slit 1.4404 2B 0.35x134mm;18;0;-19.17;19.17;0;0;-18;32.417;46752;32087379;;;
APC_FEB_Prep;N12880;Alfa Laval Technologies AB;190;2B;1.4404;0.378;750;542ATL040NA0141;CRC/Slit 1.4404 2B 0.378x750mm;36;0;-56.9;56.9;0;0;-36;7.38;46752;32087379;;;
APC_FEB_Prep;N13218;Kelvion PHE;200;2B;1.4404;0.4;750;542ATL040NA0147;CRC/Slit 1.4404 2B 0.40x750mm;36;0;0;58.48;0;0;-36;0;46752;32087379;;;
APC_FEB_Prep;N8202;Kelvion Brazed;210;2B;1.4404;0.4;397;542ATL040NA0133;CRC/Slit 1.4404 2B 0.40x397mm;54;0;-55.74;55.74;0;0;-54;39.395;46752;32087379;;;
APC_FEB_Prep;N16280;Danfoss A/S;220;2B;1.4404;0.4;1000;542ATL0401A0002;CRC/Slit 1.4404 2B 0.40x1000mm;36;0;-38.19;38.19;0;0;-36;0;46752;32087379;;;
APC_FEB_Prep;N0282;Swep International AB;230;2B;1.4404;0.4;312.5;542ATL040NA0003;CRC/Slit 1.4404 2B 0.40x312.5mm;72;0;-76.46;76.46;0;0;-72;0;46752;32087379;;;
APC_FEB_Prep;;;;;;;;;;936;0;-671.39;943.9;0;0;-936;106.678;;;;;
APC_JAN_Prep;N14591;Pulvini SRL;10;2B;1.4404(N);0.295;333;542ATF030NA0011;CRC/Slit 1.4404(N) 2B 0.295x333mm;126;0;-128.65;128.65;0;0;-126;61.074;46752;32086875;;;
APC_JAN_Prep;N10239;Alfa Laval Technologies AB;20;2B;1.4301;0.25;125;542ATY025NA0012;CRC/Slit 1.4301 2B 0.25x125mm;18;0;-15.12;15.12;0;0;-18;11.129;46752;32086875;;;
APC_JAN_Prep;N1469;Klaus Bayer;30;2B;1.4301;0.3;400;542ATY030NA0006;CRC/Slit 1.4301 2B 0.30x400mm;72;0;0;74.09;0;0;-72;18.811;46752;32086875;;;
APC_JAN_Prep;N13597;Bernecker Rollforming & Tubes;40;2B;1.4301;0.37;37;542ATY040NA0133;CRC/Slit 1.4301 2B 0.37x37mm;18;0;-18.28;18.28;0;0;-18;6.498;46752;32086875;;;
APC_JAN_Prep;N3455C;ESG EDELSTAHL;50;2B;1.4301;0.5;565;542ATY050NA0068;CRC/Slit 1.4301 2B 0.50x565mm;54;0;0;51.25;0;0;-54;29.234;46752;32086875;;;
APC_JAN_Prep;N3465;MODINEHUNGARIA;60;2B;1.4301;0.5;232;542ATY050NA0070;CRC/Slit 1.4301 2B 0.50x232mm;18;0;-17.6;17.6;0;0;-18;7.12;46752;32086875;;;
APC_JAN_Prep;N6804;Schoeller Werk;70;2B;1.4307;0.5;49.9;542ATV050NA0010;CRC/Slit 1.4307 2B 0.50x49.9mm;18;0;-18.6;18.6;0;0;-18;0;46752;32086875;;;
