SDG S/O Number;Ncode;Customer PO No.;Otx Item;Surface;Grade;Thickness;Width;Material;Description;     Order Qty;In Production Qty;   Produced Qty;    In Transit;Transfered Qty;Final Qty;Production Balance;Warehouse STOCK Qty;RequestDeliveryDate;OTX Sales Order;Status Description;;
APC_JAN_Prep;N5399;Danfoss A/S;80;2B;1.4301;0.5;660;542ATY050NA0101;CRC/Slit 1.4301 2B 0.5x660mm;126;0;-228.28;170.59;0;0;-126;2.555;46752;32086875;;;
APC_JAN_Prep;N7239A;Alfa Laval Technologies AB;90;2B;1.4301;0.583;500;542ATY060NA0073;CRC/Slit 1.4301 2B 0.583x500mm;18;0;-18.18;18.18;0;0;-18;0;46752;32086875;;;
APC_JAN_Prep;N0240;Swep International AB;100;2B;1.4404;0.3;82;542ATL030NA0001;CRC/Slit 1.4404 2B 0.30x82mm;126;0;0;136.12;0;0;-126;47.216;46752;32086875;;;
APC_JAN_Prep;N5824C;Norder Band AG;110;2B;1.4404;0.3;1270;542AML0303A0005;CRC/Mill 1.4404 2B 0.30x1270mm;72;0;-73.88;73.88;0;0;-72;0;46752;32086875;;;
APC_JAN_Prep;N3423;Kelvion;120;2B;1.4404;0.3;102;542ATL030NA0024;CRC/Slit 1.4404 2B 0.30x102mm;18;0;-19.12;19.12;0;0;-18;4.044;46752;32086875;;;
APC_JAN_Prep;N7947;Kelvion;130;2B;1.4404;0.35;136;542ATL035NA0007;CRC/Slit 1.4404 2B 0.35x136mm;18;0;-19.4;19.4;0;0;-18;0;46752;32086875;;;
APC_JAN_Prep;N0391;Swep International AB;140;2B;1.4404;0.35;312.5;542ATL035NA0003;CRC/Slit 1.4404 2B 0.35x312.5mm;324;0;0;323.81;0;0;-324;78.312;46752;32086875;;;
APC_JAN_Prep;;;;;;;;;;    1.026.000;0;-557.11;    1.084.690;0;0;-1.026.000;265.993;;;;;
APC_JULY_Prep;N14665;ITALINOX S.R.O.;10;2B;1.4307;0.25;33;542ATV025NA0012;CRC/Slit 1.4307 2B 0.25x33mm;18;0;-12.06;12.06;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N3465;MODINE HUNGARIA KFT;20;2B;1.4301;0.5;232;542ATY050NA0070;CRC/Slit 1.4301 2B 0.50x232mm;36;0;-37.87;37.87;0;0;-36;7.12;46752;32090482;;;
APC_JULY_Prep;N16447;Danfoss SRL;30;2B;1.4307;0.5;872;542ATV050NA0071;CRC/SLIT 1.4307 2B 0.5X872MM;18;0;-19.1;19.1;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N6356;Swep International AB;40;2B;1.4307;1;82;542ATV100NA0002;CRC/Slit 1.4307 2B 1.00x82mm;18;0;-19.2;19.2;0;0;-18;13.113;46752;32090482;;;
APC_JULY_Prep;N8967A;Lemvigh-Mueller A/S;50;2B;1.4828;0.3;1250;542ATB0303A0001;CRC/Slit 1.4828 2B 0.30x1250mm;18;0;-18.73;18.73;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N16677;Damstahl a/s;60;2B;1.4828;0.4;1000;542ATB0401A0001;CRC/Slit 1.4828 2B 0.40x1000mm;72;0;-75.32;75.32;0;0;-72;3.476;46752;32090482;;;
APC_JULY_Prep;N1731;Zoppas Industries Romania;70;2B;1.4828;0.5;30.2;542ATB050NA0007;CRC/Slit 1.4828 2B 0.50x30.2mm;18;0;-18.54;18.54;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N1080;WITZENMANN GMBH;80;2B;1.4541;0.3;1250;542ATH0303A0001;CRC/Slit 1.4541 2B 0.30x1250mm;18;0;0;0;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N12963;Lemvigh-Mueller A/S;90;2B;1.4541;0.4;800;542ATH040NA0023;CRC/Slit 1.4541 2B 0.40x800mm;18;0;0;0;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N12955;Lemvigh-Mueller A/S;100;2B;1.4541;0.5;1250;542ATH0503A0001;CRC/Slit 1.4541 2B 0.50x1250mm;36;0;0;0;0;0;-36;3.278;46752;32090482;;;
APC_JULY_Prep;N16675;Damstahl a/s;110;2B;1.4541;0.6;1250;542ATH0603A0002;CRC/Slit 1.4541 2B 0.60x1250mm;36;0;0;0;0;0;-36;0;46752;32090482;;;
APC_JULY_Prep;N16633;ALSIMA D.O.O.;120;2B;1.4301;0.4;49.7;542ATY040NA0148;CRC/SLIT 1.4301 2B 0.4X49.7MM;54;0;-38.08;38.08;0;0;-54;0;46752;32090482;;;
APC_JULY_Prep;N3455C;ESG EDELSTAHL SCHNEIDSERVICE GMBH;130;2B;1.4301;0.5;565;542ATY050NA0068;CRC/Slit 1.4301 2B 0.50x565mm;18;0;-18.95;18.95;0;0;-18;29.234;46752;32090482;;;
APC_JULY_Prep;N10239;Alfa Laval Technologies AB;140;2B;1.4301;0.25;125;542ATY025NA0012;CRC/Slit 1.4301 2B 0.25x125mm;18;0;0;0;0;0;-18;11.129;46752;32090482;;;
APC_JULY_Prep;N1469;Klaus Baier GmbH & Co. KG;150;2B;1.4301;0.3;400;542ATY030NA0006;CRC/Slit 1.4301 2B 0.30x400mm;36;0;-35.59;35.59;0;0;-36;18.811;46752;32090482;;;
APC_JULY_Prep;N7531A;Alfa Laval Technologies AB;160;2B;1.4301;0.481;750;542ATY050NA0240;CRC/Slit 1.4301 2B 0.481x750mm;36;39.66;-18.78;18.78;0;0;-36;8.2;46752;32090482;;;
APC_JULY_Prep;N10625;Danfoss SRL;170;2B;1.4301;0.5;388;542ATY050NA0165;CRC/Slit 1.4301 2B 0.50x388mm;18;0;0;0;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N0240;Watco Companies LLC;180;2B;1.4404;0.3;82;542ATL030NA0001;CRC/Slit 1.4404 2B 0.30x82mm;54;0;-58.08;58.08;0;0;-54;47.216;46752;32090482;;;
APC_JULY_Prep;N14672;Solar Metal Flex;190;2B;1.4404;0.3;124;542ATL030NA0092;CRC/Slit 1.4404 2B 0.30x124mm;54;0;-59.06;59.06;0;0;-54;0;46752;32090482;;;
APC_JULY_Prep;N3423;Kelvion Brazed PHE GmbH;200;2B;1.4404;0.3;102;542ATL030NA0024;CRC/Slit 1.4404 2B 0.30x102mm;18;0;-18.16;18.16;0;0;-18;4.044;46752;32090482;;;
APC_JULY_Prep;N7947;Kelvion Brazed PHE GmbH;210;2B;1.4404;0.35;136;542ATL035NA0007;CRC/Slit 1.4404 2B 0.35x136mm;18;0;-19.22;19.22;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N7863A;Kelvion PHE GmbH;220;2B;1.4404;0.35;450;542ATL035NA0028;CRC/Slit 1.4404 2B 0.35x450mm;18;0;-18.25;18.25;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N7028;HEXONIC Sp. z o.o.;230;2B;1.4404;0.35;134;542ATL035NA0005;CRC/Slit 1.4404 2B 0.35x134mm;36;0;-38.73;38.73;0;0;-36;32.417;46752;32090482;;;
APC_JULY_Prep;N0391;Swep International AB;240;2B;1.4404;0.35;312.5;542ATL035NA0003;CRC/Slit 1.4404 2B 0.35x312.5mm;54;0;-56.05;56.05;0;0;-54;78.312;46752;32090482;;;
APC_JULY_Prep;N8202;Kelvion Brazed PHE GmbH;250;2B;1.4404;0.4;397;542ATL040NA0133;CRC/Slit 1.4404 2B 0.40x397mm;36;0;-37.27;37.27;0;0;-36;39.395;46752;32090482;;;
APC_JULY_Prep;N15097;Flex Academy;260;2B;1.4404;0.4;286;542ATL040NA0166;CRC/SLIT 1.4404 2B 0.4X286MM;54;19.77;-37.47;37.47;0;0;-54;0;46752;32090482;;;
APC_JULY_Prep;N15204;HEXONIC Sp. z o.o.;270;2B;1.4404;0.5;1250;542ATL0503A0003;CRC/Slit 1.4404 2B 0.50x1250mm;36;0;-37.51;37.51;0;0;-36;2.558;46752;32090482;;;
APC_JULY_Prep;N15649;Zoppas Industries Romania;280;2B;1.4404;0.5;39.6;542ATL050NA0202;CRC/SLIT 1.4404 2B 0.5X39.6MM;36;0;-38.3;38.3;0;0;-36;0;46752;32090482;;;
APC_JULY_Prep;N15098;Flex Academy;290;2B;1.4404;0.5;448;542ATL050NA0198;CRC/SLIT 1.4404 2B 0.5X448MM;18;0;-19.44;19.44;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N10229;Dietrich Aldinger GmbH - Horb;300;2B;1.4404;0.55;440;542ATL055NA0001;CRC/Slit 1.4404 2B 0.55x440mm;18;0;-17.83;17.83;0;0;-18;12.86;46752;32090482;;;
APC_JULY_Prep;N9195A;Alfa Laval Technologies AB;310;2B;1.4404;0.583;625;542ATL060NA0114;CRC/Slit 1.4404 2B 0.583x625mm;36;0;-36.87;36.87;0;0;-36;0;46752;32090482;;;
APC_JULY_Prep;N6391;HEXONIC Sp. z o.o.;320;2B;1.4404;0.6;24;542ATL060NA0041;CRC/Slit 1.4404 2B 0.60x24mm;18;0;-18.53;18.53;0;0;-18;7.095;46752;32090482;;;
APC_JULY_Prep;N10293;Swep Slovakia S.R.O;330;2B;1.4404;0.6;210;542ATL060NA0055;CRC/Slit 1.4404 2B 0.60x210mm;18;0;-19.19;19.19;0;0;-18;5.517;46752;32090482;;;
APC_JULY_Prep;N15518;CSM Tube Spa;340;2B;1.4404;0.75;38.7;542ATL075NA0006;CRC/SLIT 1.4404 2B 0.75X38.7MM;18;0;-19.46;19.46;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N17785;Fischer GROUP;350;2B;1.4307;0.42;38.5;542ATV040NA0063;CRC/SLIT 1.4307 2B 0.42X38.5MM;36;0;0;0;0;0;-36;17.791;46752;32090482;;;
APC_JULY_Prep;;;;;;;;;;    1.062.000;59.43;-861.64;861.64;0;0;-1.062.000;341.566;;;;;
APC_JUNE_Prep;N16677;Damstahl a/s;10;2B;1.4828;0.4;1000;542ATB0401A0001;CRC/Slit 1.4828 2B 0.40x1000mm;36;0;-37.11;37.11;0;0;-36;3.476;46752;32090173;;;
APC_JUNE_Prep;N1731;Zoppas Industries Romania;20;2B;1.4828;0.5;30.2;542ATB050NA0007;CRC/Slit 1.4828 2B 0.50x30.2mm;18;0;-18.66;18.66;0;0;-18;0;46752;32090173;;;
APC_JUNE_Prep;N1872;BACKER BHV AB;30;2B;1.4828;0.6;29.9;542ATB060NA0003;CRC/Slit 1.4828 2B 0.60x29.9mm;18;0;-18.74;18.74;0;0;-18;0;46752;32090173;;;
APC_JUNE_Prep;N12963;Lemvigh-Mueller A/S;40;2B;1.4541;0.4;800;542ATH040NA0023;CRC/Slit 1.4541 2B 0.40x800mm;36;0;-38.06;38.06;0;0;-36;0;46752;32090173;;;
APC_JUNE_Prep;N12955;Lemvigh-Mueller A/S;50;2B;1.4541;0.5;1250;542ATH0503A0001;CRC/Slit 1.4541 2B 0.50x1250mm;36;0;0;0;0;0;-36;3.278;46752;32090173;;;
APC_JUNE_Prep;N16675;Damstahl a/s;60;2B;1.4541;0.6;1250;542ATH0603A0002;CRC/Slit 1.4541 2B 0.60x1250mm;36;0;0;0;0;0;-36;0;46752;32090173;;;
APC_JUNE_Prep;N3072;Zoppas Industries Romania;70;2B;1.4541;0.7;45.3;542ATH070NA0005;CRC/Slit 1.4541 2B 0.70x45.3mm;36;0;-18.96;18.96;0;0;-36;0;46752;32090173;;;
APC_JUNE_Prep;;;;;;;;;;234;0;-131.53;131.53;0;0;-234;6.754;;;;;
APC_MAR_Prep;N13593;Alfa Laval Technologies AB;10;2B;1.4404(N);0.25;400;542ATF025NA0001;CRC/Slit 1.4404(N) 2B 0.25x400mm;72;0;0;85.81;0;0;-72;0;46752;32088634;;;
APC_MAR_Prep;N14591;Alfa Laval Technologies AB;20;2B;1.4404(N);0.295;333;542ATF030NA0011;CRC/Slit 1.4404(N) 2B 0.295x333mm;300;0;0;147.69;0;0;-300;61.074;46752;32088634;;;
APC_MAR_Prep;N14595;Alfa Laval Technologies AB;30;2B;1.4404(N);0.348;625;542ATF035NA0005;CRC/Slit 1.4404(N) 2B 0.348x625mm;54;0;0;35.98;0;0;-54;0;46752;32088634;;;
APC_MAR_Prep;N16748;Alfa Laval Technologies AB;50;2B;1.4301;0.295;300;542ATY030NA0109;CRC/SLIT 1.4301 2B 0.295X300MM;18;0;-19.27;19.27;0;0;-18;0;46752;32088634;;;
APC_MAR_Prep;N16122;Norder Band AG;60;2B;1.4307;0.3;1270;542AMV0303A0001;CRC/Mill 1.4307 2B 0.3x1270mm;36;0;-35.32;35.32;0;0;-36;0;46752;32088634;;;
APC_MAR_Prep;N16229;Watco Companies LLC;70;2B;1.4307;0.3;82;542ATV030NA0003;CRC/Slit 1.4307 2B 0.30x82mm;36;0;-38.19;38.19;0;0;-36;3.151;46752;32088634;;;
APC_MAR_Prep;N9663A;Alfa Laval Technologies AB;80;2B;1.4301;0.378;750;542ATY040NA0126;CRC/Slit 1.4301 2B 0.378x750mm;18;0;-17.94;37.4;0;0;-18;9.082;46752;32088634;;;
APC_MAR_Prep;N5871;Kelvion PHE;90;2B;1.4301;0.4;550;542ATY040NA0070;CRC/Slit 1.4301 2B 0.4x550mm;18;0;-17.91;17.91;0;0;-18;0;46752;32088634;;;
APC_MAR_Prep;N16633;ALSIMA D.O.O.;100;2B;1.4301;0.4;49.7;542ATY040NA0148;CRC/SLIT 1.4301 2B 0.4X49.7MM;108;0;-110.76;110.76;0;0;-108;0;46752;32088634;;;
APC_MAR_Prep;N16258;Norder Band AG;110;2B;1.4307;0.4;1270;542AMV0403A0002;CRC/Mill 1.4307 2B 0.4x1270mm;36;0;-39.33;39.33;0;0;-36;0;46752;32088634;;;
APC_MAR_Prep;N15410;Federal Mogul;120;2B;1.4301;0.4;398;542ATY040NA0141;CRC/SLIT 1.4301 2B 0.4X398MM;108;0;-94.88;94.88;0;0;-108;14.373;46752;32088634;;;
APC_MAR_Prep;N7531A;Alfa Laval Technologies AB;130;2B;1.4301;0.481;750;542ATY050NA0240;CRC/Slit 1.4301 2B 0.481x750mm;18;0;-19.46;19.46;0;0;-18;8.2;46752;32088634;;;
APC_MAR_Prep;N13354;Kelvion PHE;140;2B;1.4301;0.5;1000;542ATY0501A0003;CRC/Slit 1.4301 2B 0.50x1000mm;18;0;-19.35;19.35;0;0;-18;0;46752;32088634;;;
APC_MAR_Prep;N10625;Danfoss A/S;160;2B;1.4301;0.5;388;542ATY050NA0165;CRC/Slit 1.4301 2B 0.50x388mm;72;0;-38.96;77.19;0;0;-72;0;46752;32088634;;;
APC_MAR_Prep;N17276;Evapco;170;2B;1.4307;0.5;49.5;542ATV050NA0091;CRC/SLIT 1.4307 2B 0.5X49.5MM;54;0;-75.6;75.6;0;0;-54;0;46752;32088634;;;
APC_MAR_Prep;;;;;;;;;;    1.092.000;0;-526.97;854.14;0;0;-1.092.000;107.009;;;;;
APC_MAY_Prep;N0240;Swep International AB;10;2B;1.4404;0.3;82;542ATL030NA0001;CRC/Slit 1.4404 2B 0.30x82mm;198;0;-192.24;192.24;0;0;-198;47.216;46752;32089979;;;
APC_MAY_Prep;N5824C;Norder Band AG;20;2B;1.4404;0.3;1270;542AML0303A0005;CRC/Mill 1.4404 2B 0.30x1270mm;54;0;-56.74;56.74;0;0;-54;0;46752;32089979;;;
APC_MAY_Prep;N3423;Kelvion Brazed;30;2B;1.4404;0.3;102;542ATL030NA0024;CRC/Slit 1.4404 2B 0.30x102mm;18;0;-18.95;18.95;0;0;-18;4.044;46752;32089979;;;
APC_MAY_Prep;N7947;Kelvion Brazed;40;2B;1.4404;0.35;136;542ATL035NA0007;CRC/Slit 1.4404 2B 0.35x136mm;36;0;-37.67;37.67;0;0;-36;0;46752;32089979;;;
APC_MAY_Prep;N7028;HEXONIC;50;2B;1.4404;0.35;134;542ATL035NA0005;CRC/Slit 1.4404 2B 0.35x134mm;18;0;-18.59;18.59;0;0;-18;32.417;46752;32089979;;;
APC_MAY_Prep;N0391;Swep International AB;60;2B;1.4404;0.35;312.5;542ATL035NA0003;CRC/Slit 1.4404 2B 0.35x312.5mm;308;0;-309.17;309.17;0;0;-308;78.312;46752;32089979;;;
APC_MAY_Prep;N8202;Kelvion Brazed;70;2B;1.4404;0.4;397;542ATL040NA0133;CRC/Slit 1.4404 2B 0.40x397mm;36;0;-37.36;37.36;0;0;-36;39.395;46752;32089979;;;
APC_MAY_Prep;N15203;HEXONIC;80;2B;1.4404;0.4;1250;542ATL0403A0001;CRC/Slit 1.4404 2B 0.40x1250mm;18;0;-19.64;19.64;0;0;-18;0;46752;32089979;;;
APC_MAY_Prep;N15097;Flex Academy DOO;90;2B;1.4404;0.4;286;542ATL040NA0166;CRC/SLIT 1.4404 2B 0.4X286MM;36;0;-36.68;36.68;0;0;-36;0;46752;32089979;;;
APC_MAY_Prep;N0282;Swep International AB;100;2B;1.4404;0.4;312.5;542ATL040NA0003;CRC/Slit 1.4404 2B 0.40x312.5mm;126;0;-134.11;134.11;0;0;-126;0;46752;32089979;;;
APC_MAY_Prep;N14053;Alfa Laval Technologies AB;110;2B;1.4404;0.481;750;542ATL050NA0189;CRC/Slit 1.4404 2B 0.481x750mm;54;0;0;73.55;0;0;-54;7.869;46752;32089979;;;
APC_MAY_Prep;N15204;HEXONIC;120;2B;1.4404;0.5;1250;542ATL0503A0003;CRC/Slit 1.4404 2B 0.50x1250mm;54;0;-54.48;54.48;0;0;-54;2.558;46752;32089979;;;
APC_MAY_Prep;N9195A;Alfa Laval Technologies AB;130;2B;1.4404;0.583;625;542ATL060NA0114;CRC/Slit 1.4404 2B 0.583x625mm;36;0;-37.82;37.82;0;0;-36;0;46752;32089979;;;
APC_MAY_Prep;N14417;SPX Flow Technology PL;140;2B;1.4404;0.6;308;542ATL060NA0087;CRC/Slit 1.4404 2B 0.60x308mm;18;0;-17.67;17.67;0;0;-18;0;46752;32089979;;;
APC_MAY_Prep;N10293;Swep Slovakia S.R.O;150;2B;1.4404;0.6;210;542ATL060NA0055;CRC/Slit 1.4404 2B 0.60x210mm;36;0;-38.11;38.11;0;0;-36;5.517;46752;32089979;;;
APC_MAY_Prep;N7502B;Alfa Laval Technologies AB;160;2B;1.4404;0.678;625;542ATL070NA0064;CRC/Slit 1.4404 2B 0.678x625mm;18;0;-18.24;18.24;0;0;-18;0;46752;32089979;;;
APC_MAY_Prep;N11387;Swep Slovakia S.R.O;190;2B;1.4404;1;125;542ATL100NA0033;CRC/Slit 1.4404 2B 1.0x125mm;18;0;-17.34;17.34;0;0;-18;0;46752;32089979;;;
