;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;8758.666667;Customer FCST;Customer FCST;Customer FCST;PIC FCST;;;;2026-07;;;;;;;;;;;;
301(HT3);1.431;0.3;;-0.02;0.02;N6696;;;10;;2H;;BJB GmbH & Co. KG;BJB GmbH & Co. KG;;;;;0;;;;;;;;;;;;;3449;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;can be annealed in BA line;;;;0;0;0;0;0;;;;;;;Frank G.;Merlin
;1.431;0.3;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;10785;0;0;8220;7550;3000;4000;4000;0;0;0;0;;;;;3795;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT3);1.431;0.5;N8461;-0.013;0.013;N8461;;;67;;2H;;KGW Gerber Edelstaehle GmbH;KGW Gerber Edelstaehle GmbH;;;;0;0;;;;;;;;;;;;;0;0;0;11534;0;0;0;0;0;0;0;0;;;;1;1922.333333;;;;spot biz;;;;0;0;0;0;0;;;;;;;Patrick;Merlin
301(HT3);1.431;0.5;;-0.025;0.025;N14249;;;24;;2H;;BAND-UND FEINSTAHL SERVICE RUDOLPH;BAND-UND FEINSTAHL SERVICE RUDOLPH;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;in clarification;;;;0;0;0;0;0;;;;;;;Patrick;Manfred
;1.431;0.5;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11534;0;0;0;0;0;0;0;0;;;;;1922.333333;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT3);1.431;0.6;N9494;-0.02;0.02;N9494;;;30;;2H;;Areco Industry AB;Hoffmans Verkstads AB;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;0;;;0;0;0;0;0;0;;;;;;;
301(HT3);1.431;0.75;N9493;-0.035;0.035;N9493;;;300;;2H;;GEORG NOBITSCHEK GMBH & CO;GEORG NOBITSCHEK GMBH & CO;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;0;;;0;0;0;0;0;0;;;;;;Patrick;Adrian
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301(HT5);1.431;0.6;N15947;-0.012;0.012;N15947;1345;1500;400;;2H;;ELRING KLINGER AG;ElringKlinger AG;;;;0;0;;;;;;;;;;;;;2524;1769;7388;0;23892;14000;19500;18500;0;0;0;0;;;;5;11091.5;;;;54000;54;;;0;0;0;54;0;;;;;;;Frank G.;Merlin
301(HT5);1.431;0.6;;-0.012;0.012;N17080;1345;1500;386;;2H;;ELRING KLINGER AG;Elring Klinger AG;;;;;0;;;;;;;;;;;;;0;1719;0;1001;1203;1000;0;1000;1000;1000;2000;0;;;;4;820.5;;;;0;;;;0;0;0;0;0;;;;;;;Frank G.;Merlin
;1.431;0.6;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2524;3488;7388;1001;25095;15000;19500;19500;1000;1000;2000;0;;;;;11912;;;;54000;54;0;0;0;0;0;54;0;0;;;;;;;
301(HT5);1.431;0.65;N17291;-0.012;0.012;N17291;1345;1500;125;;2H;;Elring Klinger Mexico SA DE CV;Elring Klinger Mexico SA DE CV;;;;0;0;;;;;;;;;;;;;0;0;1053;0;989;0;0;0;0;0;0;0;;;;2;340.3333333;;;;18000;18;;;0;0;0;18;0;;;;;;;Frank G.;Merlin
301(HT5);1.431;0.65;;-0.012;0.012;N17290;1345;1500;175;;2H;;Elring Klinger Mexico SA DE CV;Elring Klinger Mexico SA DE CV;;;;;0;;;;;;;;;;;;;0;0;0;0;0;1000;0;0;0;0;0;0;;;;1;166.6666667;;;;0;;;;0;0;0;0;0;0;;;;;;Frank G.;Merlin
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1053;0;989;1000;0;0;0;0;0;0;;;;;507;;;;18000;18;0;0;0;0;0;18;0;0;;;;;;;
301(HT5);1.431;0.7;N17389;-0.014;0.014;N17389;1700;1900;102;;2H;;BANDSTAHLSERVICE SCHLAG;BANDSTAHLSERVICE SCHLAG;;;;0;0;;;;;;;;;;;;;0;2037;0;0;0;1500;0;0;0;0;0;0;;;;2;1768.5;;;;in clarification;0;;;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.7;N16482;-0.03;0.03;N16482;1600;1800;235;;2H;;GEORG NOBITSCHEK GMBH & CO;GEORG NOBITSCHEK GMBH & CO;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;spot biz;0;;;0;0;0;0;0;0;;;;;;Patrick;Adrian
301(HT5);1.431;0.65;N16223;-0.014;0.014;N16223;1600;1750;40;;2H;;Jenssen GmbH & Co. KG;Jenssen Lager Anzhausen;;;;0;0;;;;;;;;;;;;;0;2176;0;0;0;0;0;0;0;0;0;0;;;;1;362.6666667;;;;spot biz;;;;0;0;0;0;0;;;;;;;Patrick;Sergius
301(HT5);1.431;0.65;;-0.025;0.025;N16762;1600;1800;165;;2H;;GEORG NOBITSCHEK GMBH & CO;GEORG NOBITSCHEK GMBH & CO;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;spot biz;;;;0;0;0;0;0;0;;;;;;Patrick;Adrian
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2176;0;0;0;0;0;0;0;0;0;0;;;;;362.6666667;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.7;N16735;-0.02;0.02;N16735;1550;1700;54;;2H;;SKD Services GmbH;;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;0;;;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.7;N17674;-0.014;0.014;N17674;1450;1600;300;;2H;;Waelzholz Tempracciaio Srl;Waelzholz Tempracciaio S.r.l.;;;;0;0;;;;;;;;;;;;;0;0;0;0;6017;0;0;0;0;0;0;0;;;;1;6017;;;;6000;0;;;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.65;N10860;-0.03;0;N10860;1600;1750;14.5;;2H;;Julius Blum GmbH;Julius Blum GmbH;;;;0;0;;;;;;;;;;;;;16674;8288;23909;15841;30928;32000;24000;16000;16000;16000;32000;0;;;;6;22494.33333;;;;72000;72;;;0;0;0;72;0;;;;;;;Frank G.;Adrian
301(HT5);1.431;0.65;;-0.03;0;N16057;1600;1750;14.5;;2H;;WP-Woergartner Produktions-GmbH;WP-Woergartner Produktions-GmbH;;;;;0;;;;;;;;;;;;;16256;32974;0;15129;13968;13765;16000;16000;32000;16000;16000;0;;;;5;15306;;;;50000;54;;;0;0;0;54;0;0;;;;;;Frank G.;Adrian
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;32930;41262;23909;30970;44896;45765;40000;32000;48000;32000;48000;0;;;;;37800.33333;;;;122000;126;0;0;0;0;0;126;0;0;;;;;;;
301(HT5);1.431;0.7;N15264;-0.02;0.02;N15264;1625;1775;11.4;;2H;;ARTURO SALICE SPA;ARTURO SALICE SPA;;;;0;0;;;;;;;;;;;;;10630;0;10789;0;10281;20000;0;10000;10000;0;20000;0;;;;3;13690;;;;30000;36;;;0;0;0;36;0;0;;;;;;;
301(HT5);1.431;0.8;N17130(-0.01/+0.015);-0.02;0.02;N15679;1500;1700;53;;2H;;METALLBAND ITALIANA  S.R.L.;METALLBAND ITALIANA  S.R.L.;;;;0;0;;;;;;;;;;;;;0;0;2921;0;0;0;0;0;0;0;0;0;;;;1;486.8333333;;;;spot biz;;;;0;0;0;0;0;;;;;;;Frank G.;Sergius
301(HT5);1.431;0.8;;-0.02;0.02;N17130;1500;1650;60;;2H;;Waelzholz Italia s.r.l.;Waelzholz Italia s.r.l.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;2000;;;;0;0;0;0;0;;;;;;;Frank G.;Sergius
301(HT5);1.431;0.8;;-0.015;0.015;N17248;1500;1700;29.8;;2H;;Lesjoefors Banddetaljer;;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;;;;0;0;0;0;0;;;;;;;;
;1.431;0.8;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2921;0;0;0;0;0;0;0;0;0;;;;;486.8333333;;;;2000;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.7;N15798;-0.02;0.02;N15798;1230;1380;28;;2H;;Cappeller S.p.a. SB;Cappeller S.p.a. SB;;;;0;0;;;;;;;;;;;;;0;0;2332;0;0;0;0;3000;0;0;0;0;;;;1;2332;;;;4000;0;;;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.65;N16923;-0.03;0.03;N16923;1700;1900;125;;2H;;ARTHUR DORP GMBH & CO. KG;ARTHUR DORP GMBH & CO. KG;;;;0;0;;;;;;;;;;;;;0;0;4260;0;0;0;0;0;0;0;0;0;;;;1;710;;;;4000;;;;0;0;0;0;0;;;;;;;;
301(HT5);1.431;0.65;;-0.03;0.03;N16924;1700;1900;149;;2H;;ARTHUR DORP GMBH & CO. KG;ARTHUR DORP GMBH & CO. KG;;;;;0;;;;;;;;;;;;;4064;0;0;0;0;0;0;3000;0;0;0;0;;;;0;0;;;;4000;;;;0;0;0;0;0;0;;;;;;;
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4064;0;4260;0;0;0;0;3000;0;0;0;0;;;;;710;;;;8000;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.7;N16969;-0.025;0.025;N16969;1100;1250;315;;2H;;GEORG NOBITSCHEK GMBH & CO;GEORG NOBITSCHEK GMBH & CO;;;;0;0;;;;;;;;;;;;;0;0;0;0;2486;0;0;0;0;0;0;0;;;;1;2486;;;;spot biz;0;;;0;0;0;0;0;0;;;;;;Patrick;Adrian
301(HT5);1.431;0.65;N17549;-0.04;0.04;N17423;1300;1500;610;;2H;;IDM - ICAUNAISE DES METAUX;IDM - ICAUNAISE DES METAUX;;;;0;0;;;;;;;;;;;;;0;1840;0;0;0;0;0;0;0;0;0;0;;;;1;306.6666667;;;;spot biz;;;;0;0;0;0;0;;;;;;;Patrick;Jessica
301(HT5);1.431;0.65;;-0.02;0.02;N17549;1300;1450;408;;2H;;Vinco;Vinco;;;;;0;;;;;;;;;;;;;0;0;0;5623;0;0;0;0;0;0;0;0;;;;1;937.1666667;;;;0;;;;0;0;0;0;0;0;;;;;;James;Sophia
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1840;0;5623;0;0;0;0;0;0;0;0;;;;;1243.833333;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.65;N17383;-0.025;0.025;N17367;1300;1500;625;;2H;;ESG EDELSTAHL SCHNEIDSERVICE GMBH;ESG EDELSTAHL SCHNEIDSERVICE GMBH;;;;0;0;;;;;;;;;;;;;10258;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;;;;0;0;0;0;0;;;;;;;;
301(HT5);1.431;0.65;;-0.05;0.05;N17424;1300;1500;610;;2H;;IDM - ICAUNAISE DES METAUX;IDM - ICAUNAISE DES METAUX;;;;;0;;;;;;;;;;;;;0;1920;0;0;0;0;0;0;0;0;0;0;;;;1;320;;;;2000;;;;0;0;0;0;0;;;;;;;Patrick;Jessica
301(HT5);1.431;0.65;;-0.018;0.018;N17383;1300;1450;305;;2H;;BANDSTAHLSERVICE SCHLAG;BANDSTAHLSERVICE SCHLAG;;;;;0;;;;;;;;;;;;;3012;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;in clarification;;;;0;0;0;0;0;;;;;;;;
301(HT5);1.431;0.65;;-0.02;0.02;N17642;1300;1450;300;;2H;;Waelzholz Tempracciaio Srl;Waelzholz Tempracciaio S.r.l.;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;spot biz;;;;;;;;;;;;;;;;
301(HT5);1.431;0.65;;-0.03;0.03;N16167;1300;1500;404;;2H;;Somers SAS;Somers SAS;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;spot biz;;;;0;0;0;0;0;;;;;;;Patrick;Jessica
301(HT5);1.431;0.65;;-0.02;0.02;N12270;1230;1450;78;;2H;;Cappeller S.p.a. SB;Cappeller S.p.a. SB;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;no further need in 2026;;;;0;0;0;0;0;0;;;;;;;
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;13270;1920;0;0;0;0;0;0;0;0;0;0;;;;;320;;;;2000;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.65;N17699;-0.02;0.02;N10598;1150;1300;200;;2H;;ELRING KLINGER AG;ElringKlinger AG;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;2000;;;;0;0;0;0;0;;;;;;;;
301(HT5);1.431;0.65;;-0.018;0.018;N17699;1150;1300;305;;2H;;BANDSTAHLSERVICE SCHLAG;BANDSTAHLSERVICE SCHLAG;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;in clarification;;;;0;0;0;0;0;0;;;;;;;
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;2000;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.65;N17550;-0.025;0.025;N17550;1500;1650;428;;2H;;Vinco;Vinco;;;;0;0;;;;;;;;;;;;;0;0;0;2763;0;0;0;0;0;0;0;0;;;;1;460.5;;;;0;;;;0;0;0;0;0;;;;;;;James;Sophia
301(HT5);1.431;0.65;;-0.05;0.05;N15746;1500;1700;1230;;2H;;STAYSTRIP GROUP LTD.;STAYSTRIP GROUP LTD.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;;;;0;0;0;0;0;0;;;;;;;
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2763;0;0;0;0;0;0;0;0;;;;;460.5;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.65;N16985(1450-1600);-0.025;0.025;N16985;1450;1650;400;;2H;;Aslan Teknik Makina San. Ve Tic. AS;HUNER GLOBAL LOJISTIK A.S.;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;spot biz;;;;0;0;0;0;0;;;;;;;;
301(HT5);1.431;0.65;;-0.024;0.024;N14729;1400;1600;1270;;2H;;Norder Band AG;Norder Band AG.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;;;;0;0;0;0;0;0;;;;;;;
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.7;N17700;-0.025;0.025;N17700;1230;1380;300;;2H;;Waelzholz Tempracciaio Srl;Waelzholz Tempracciaio S.r.l.;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;spot biz;0;;;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.7;N17352;-0.04;0.04;N17352;1300;1500;404;;2H;;Somers SAS;Somers SAS;;;;0;0;;;;;;;;;;;;;2455;0;0;2430;0;0;0;0;0;0;0;0;;;;1;2430;;;;spot biz;0;;;0;0;0;0;0;0;;;;;;Patrick;Jessica
301(HT5);1.431;0.65;N17714;-0.03;0.03;N17370;1230;1380;81;;2H;;MEVIS S.P.A.;MEVIS S.P.A.;;;;;0;;;;;;;;;;;;;1040;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;6000;;;;0;0;0;0;0;;;;;;;Frank G.;Sergius
301(HT5);1.431;0.65;;-0.02;0.02;N17714;1230;1380;81;;2H;;MEVIS S.P.A.;MEVIS S.P.A.;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;Frank G.;Sergius
301(HT5);1.431;0.65;;-0.02;0.02;N17715;1230;1380;96;;2H;;MEVIS S.P.A.;MEVIS S.P.A.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;5000;0;2000;0;0;0;0;;;;1;833.3333333;;;;0;;;;0;0;0;0;0;;;;;;;Frank G.;Sergius
301(HT5);1.431;0.65;;-0.03;0.03;N16775;1230;1450;88;;2H;;Cappeller S.p.a. SB;Cappeller S.p.a. SB;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;no further need in 2026;;;;0;0;0;0;0;0;;;;;;;
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3495;0;0;2430;0;5000;0;2000;0;0;0;0;;;;;3263.333333;;;;6000;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.7;N14335;-0.03;0.03;N14335;1050;1200;43;;2H;;Tyco Electronics Polska Sp. z o.o.;TYCO Electronics Polska Sp. z.o.o.;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1000;0;0;0;;;;0;0;;;;0;0;;;0;0;0;0;0;0;;;;;;;
301(HT5);1.431;0.65;N16997;-0.03;0.03;N16997;1150;1300;494;;2H;;ESG EDELSTAHL SCHNEIDSERVICE GMBH;ESG EDELSTAHL SCHNEIDSERVICE GMBH;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;;;;0;0;0;0;0;;;;;;;;
301(HT5);1.431;1;N17216;-0.05;0.05;N17216;1150;1300;610;;2H;;IDM - ICAUNAISE DES METAUX;IDM - ICAUNAISE DES METAUX;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;;;;0;0;0;0;0;0;;;;;;;
